#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')"
85,North Macedonia,155528.0,21.0,5471.0,1.0,149619.0,7,438.0,25.0,74655.0,2626.0,831031.0,398903.0,"2,083,293 ",Europe,13,381,3,10,0.5,210,Dummy
86,S. Korea,147422.0,563.0,1982.0,1.0,138037.0,813,7403.0,155.0,2873.0,39.0,10140535.0,197628.0,"51,311,102 ",Asia,348,"25,889",5,11,0.02,144,Dummy
87,Myanmar,145230.0,166.0,3241.0,2.0,132830.0,65,9159.0,0.0,2652.0,59.0,2645332.0,48311.0,"54,755,822 ",Asia,377,"16,895",21,3,0.04,167,Dummy
88,Latvia,135940.0,178.0,2451.0,2.0,130548.0,295,2941.0,57.0,72838.0,1313.0,2778911.0,1488966.0,"1,866,336 ",Europe,14,761,1,95,1,"1,576",Dummy
89,Algeria,133070.0,343.0,3565.0,5.0,92620.0,236,36885.0,25.0,2984.0,80.0,230861.0,5176.0,"44,599,802 ",Africa,335,"12,510",193,8,0.1,827,Dummy
90,Albania,132449.0,12.0,2453.0,0.0,129826.0,19,170.0,18.0,46072.0,853.0,755443.0,262780.0,"2,874,810 ",Europe,22,"1,172",4,4,,59,Dummy
91,Estonia,130473.0,53.0,1266.0,0.0,125715.0,187,3492.0,9.0,98293.0,954.0,1469667.0,1107191.0,"1,327,383 ",Europe,10,"1,048",1,40,,"2,631",Dummy
92,Norway,127986.0,112.0,789.0,0.0,88952.0,,38245.0,11.0,23434.0,144.0,5847413.0,1070672.0,"5,461,443 ",Europe,43,"6,922",1,21,,"7,003",Dummy
93,Zambia,110332.0,2358.0,1365.0,17.0,96646.0,972,12321.0,540.0,5847.0,72.0,1682522.0,89167.0,"18,869,309 ",Africa,171,"13,824",11,125,0.9,653,Dummy
94,Kyrgyzstan,109812.0,619.0,1881.0,5.0,102314.0,296,5617.0,102.0,16573.0,284.0,1187742.0,179254.0,"6,626,026 ",Asia,60,"3,523",6,93,0.8,848,Dummy
95,Uzbekistan,103206.0,314.0,705.0,1.0,99152.0,229,3349.0,23.0,3042.0,21.0,1377915.0,40612.0,"33,928,361 ",Asia,329,"48,125",25,9,0.03,99,Dummy
96,Montenegro,99928.0,14.0,1598.0,1.0,97889.0,45,441.0,60.0,159085.0,2544.0,429151.0,683207.0,"628,142 ",Europe,6,393,1,22,2,702,Dummy
97,Ghana,94493.0,49.0,789.0,0.0,92589.0,37,1115.0,5.0,2982.0,25.0,1208386.0,38137.0,"31,685,741  ",Africa,335,"40,159",26,2,,35,Dummy
98,Finland,93774.0,114.0,964.0,0.0,46000.0,,46810.0,9.0,16900.0,174.0,5207342.0,938446.0,"5,548,896 ",Europe,59,"5,756",1,21,,"8,436",Dummy
99,Afghanistan,89861.0,973.0,3527.0,67.0,60939.0,341,25395.0,1124.0,2260.0,89.0,523450.0,13166.0,"39,756,227 ",Asia,442,"11,272",76,24,2,639,Dummy
100,Cameroon,80090.0,0.0,1310.0,0.0,77305.0,,1475.0,152.0,2948.0,48.0,1718937.0,63267.0,"27,169,389 ",Africa,339,"20,740",16,,,54,Dummy
101,El Salvador,75351.0,0.0,2292.0,4.0,70150.0,,2909.0,18.0,11562.0,352.0,1017902.0,156185.0,"6,517,265 ",North America,86,"2,843",6,,0.6,446,Dummy
102,Mongolia,73896.0,1792.0,351.0,9.0,56449.0,196,17096.0,126.0,22203.0,105.0,3050108.0,916433.0,"3,328,240 ",Asia,45,"9,482",1,538,3,"5,137",Dummy
