#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
103,86,Africa,Tunisia,4.0,,1.0,"11,805,475 ",3.0,4036.0,1048,48.0,914.0,47649.0,89.0
104,312,Europe,Latvia,12.0,,,"1,888,181 ",2.0,51820.0,1046,22.0,712.0,97846.0,554.0
105,378,Africa,Mali,3.0,,,"20,182,888 ",,173.0,1015,63.0,574.0,3483.0,50.0
106,738,South America,Venezuela,0.4,,,"28,443,938 ",2.0,27116.0,1010,10.0,262.0,771276.0,36.0
107,175,Europe,Albania,11.0,,,"2,878,112 ",5.0,4563.0,989,31.0,783.0,13133.0,344.0
108,784,Africa,Equatorial Guinea,8.0,,,"1,397,507 ",,611.0,960,11.0,165.0,854.0,687.0
109,107,Africa,Niger,3.0,,,"24,100,778 ",,248.0,943,61.0,775.0,5989.0,39.0
110,316,Asia,Cyprus,14.0,,,"1,206,440 ",10.0,82667.0,927,17.0,594.0,99733.0,768.0
111,577,Africa,Zambia,0.4,,,"18,324,217 ",1.0,1092.0,920,7.0,336.0,20011.0,50.0
112,301,North America,Costa Rica,2.0,,,"5,089,207 ",4.0,4502.0,918,10.0,607.0,22910.0,180.0
113,817,North America,Haiti,2.0,53.0,1.0,"11,387,625 ",,239.0,865,26.0,22.0,2718.0,76.0
114,541,South America,Paraguay,2.0,,,"7,123,140 ",,3342.0,850,11.0,298.0,23805.0,119.0
115,90,Africa,Burkina Faso,2.0,,,"20,836,960 ",,,814,52.0,672.0,,39.0
116,126,South America,Uruguay,6.0,,,"3,472,495 ",5.0,10825.0,764,22.0,616.0,37590.0,220.0
117,58,Europe,Andorra,660.0,,,"77,252 ",3.0,48542.0,762,51.0,653.0,3750.0,9864.0
118,207,Asia,Georgia,3.0,,,"3,989,931 ",6.0,11456.0,728,12.0,509.0,45707.0,182.0
119,48,,Diamond Princess,,,,0,4.0,,712,13.0,651.0,,
120,225,Asia,Jordan,0.9,,,"10,192,398 ",5.0,15867.0,704,9.0,470.0,161722.0,69.0
121,357,Europe,San Marino,1238.0,,,"33,924 ",1.0,116967.0,665,42.0,266.0,3968.0,19603.0
122,641,Africa,South Sudan,0.7,,,"11,179,687 ",,300.0,655,8.0,6.0,3356.0,59.0
123,384,Africa,Chad,4.0,,,"16,370,988 ",,,648,60.0,204.0,,40.0
124,341,Africa,Sierra Leone,5.0,,,"7,958,865 ",,,621,39.0,241.0,,78.0
125,130,Europe,Malta,14.0,,,"441,423 ",1.0,134816.0,609,6.0,473.0,59511.0,1380.0
126,511,Asia,Nepal,0.1,,,"29,078,960 ",1.0,4546.0,584,3.0,70.0,132195.0,20.0
127,5,Europe,Channel Islands,259.0,,,"173,694 ",,59041.0,558,45.0,508.0,10255.0,3213.0
128,533,Africa,CAR,0.2,,,"4,820,525 ",,2400.0,552,1.0,18.0,11570.0,115.0
129,341,North America,Jamaica,3.0,6.0,,"2,959,835 ",1.0,3353.0,550,9.0,200.0,9923.0,186.0
130,305,Africa,Tanzania,0.4,,,"59,536,336 ",7.0,,509,21.0,183.0,,9.0
131,338,Africa,Ethiopia,0.04,,,"114,638,437 ",,671.0,494,5.0,151.0,76962.0,4.0
132,348,Africa,Madagascar,0.07,,,"27,609,355 ",4.0,205.0,488,2.0,138.0,5670.0,18.0
133,324,Africa,Congo,3.0,,,"5,502,591 ",,,487,16.0,147.0,,89.0
134,40,Africa,Réunion,1.0,,,"894,644 ",2.0,19226.0,452,1.0,411.0,17200.0,505.0
135,23,Asia,Taiwan,0.3,,,"23,812,392 ",,2962.0,441,7.0,411.0,70526.0,19.0
136,72,Asia,Palestine,0.6,,,"5,087,975 ",,8820.0,423,3.0,348.0,44876.0,83.0
137,228,Africa,Togo,1.0,,,"8,256,716 ",,1936.0,373,12.0,133.0,15987.0,45.0
138,226,Africa,Cabo Verde,5.0,,,"555,344 ",,2353.0,371,3.0,142.0,1307.0,668.0
139,9,Europe,Isle of Man,282.0,,,"84,986 ",2.0,52409.0,336,24.0,303.0,4454.0,3954.0
140,0,Africa,Mauritius,8.0,,,"1,271,554 ",,79471.0,332,10.0,322.0,101052.0,261.0
141,58,Asia,Vietnam,,1.0,,"97,246,184 ",2.0,2828.0,325,,267.0,275000.0,3.0
142,98,Africa,Rwanda,,,,"12,915,554 ",,4419.0,325,,227.0,57077.0,25.0
143,1,Europe,Montenegro,14.0,,,"628,058 ",,16188.0,324,9.0,314.0,10167.0,516.0
144,63,North America,Nicaragua,3.0,,,"6,616,116 ",,,279,17.0,199.0,,42.0
145,135,South America,French Guiana,3.0,,,"297,793 ",,,279,1.0,143.0,,937.0
146,93,Africa,Liberia,5.0,,,"5,044,193 ",,,255,26.0,136.0,,51.0
147,239,Africa,Sao Tome and Principe,37.0,,,"218,708 ",,800.0,251,8.0,4.0,175.0,1148.0
148,117,Africa,Eswatini,2.0,,,"1,158,888 ",,4309.0,238,2.0,119.0,4994.0,205.0
149,214,Africa,Mauritania,1.0,,,"4,635,598 ",,557.0,227,6.0,7.0,2583.0,49.0
150,162,Asia,Yemen,1.0,,,"29,751,976 ",,4.0,212,39.0,11.0,120.0,7.0
151,75,Asia,Myanmar,0.1,,,"54,371,767 ",,329.0,201,6.0,120.0,17875.0,4.0
152,130,Africa,Uganda,,,,"45,570,409 ",,1839.0,198,,68.0,83788.0,4.0
153,92,North America,Martinique,37.0,,,"375,294 ",,,197,14.0,91.0,,525.0
154,0,Europe,Faeroe Islands,,,,"48,844 ",,187393.0,187,,187.0,9153.0,3829.0
155,120,Africa,Mozambique,,,,"31,153,827 ",,255.0,168,,48.0,7947.0,5.0
156,28,North America,Guadeloupe,32.0,,,"400,117 ",3.0,8930.0,156,13.0,115.0,3573.0,390.0
157,5,Europe,Gibraltar,,,,"33,692 ",,181082.0,152,,147.0,6101.0,4511.0
158,4,Asia,Brunei ,2.0,,,"437,036 ",2.0,42127.0,141,1.0,136.0,18411.0,323.0
159,111,Asia,Mongolia,,,,"3,272,517 ",27.0,3771.0,141,,30.0,12341.0,43.0
160,71,Africa,Benin,0.2,,,"12,086,686 ",,2217.0,135,3.0,61.0,26792.0,11.0
161,67,North America,Cayman Islands,15.0,,,"65,639 ",,128369.0,129,1.0,61.0,8426.0,1965.0
162,38,North America,Bermuda,144.0,,,"62,301 ",2.0,98441.0,128,9.0,81.0,6133.0,2055.0
163,59,South America,Guyana,13.0,,,"786,160 ",4.0,1782.0,127,10.0,58.0,1401.0,162.0
164,2,Asia,Cambodia,,,,"16,693,950 ",1.0,983.0,124,,122.0,16416.0,7.0
165,0,North America,Trinidad and Tobago,6.0,,,"1,399,024 ",,2075.0,116,8.0,108.0,2903.0,83.0
166,3,North America,Aruba,28.0,,,"106,719 ",3.0,19331.0,101,3.0,95.0,2063.0,946.0
167,44,North America,Bahamas,28.0,,,"392,846 ",1.0,4977.0,100,11.0,45.0,1955.0,255.0
168,4,Europe,Monaco,102.0,,,"39,213 ",1.0,,98,4.0,90.0,,2499.0
169,15,North America,Barbados,24.0,,,"287,339 ",4.0,16232.0,92,7.0,70.0,4664.0,320.0
170,51,Africa,Malawi,0.2,,,"19,073,209 ",1.0,126.0,82,3.0,28.0,2411.0,4.0
171,26,Europe,Liechtenstein,26.0,,,"38,117 ",,23612.0,82,1.0,55.0,900.0,2151.0
172,59,Africa,Comoros,1.0,,,"867,522 ",,,78,1.0,18.0,,90.0
173,3,North America,Sint Maarten,350.0,,,"42,824 ",1.0,10205.0,77,15.0,59.0,437.0,1798.0
174,33,Africa,Libya,0.4,,,"6,861,203 ",,634.0,75,3.0,39.0,4351.0,11.0
175,29,Asia,Syria,0.2,,,"17,452,231 ",,,70,4.0,37.0,,4.0
176,39,Africa,Angola,0.1,,,"32,745,816 ",,305.0,61,4.0,18.0,10000.0,2.0
177,0,Australia/Oceania,French Polynesia,,,,"280,739 ",,13796.0,60,,60.0,3873.0,214.0
178,34,Africa,Zimbabwe,0.3,,,"14,839,448 ",,2366.0,56,4.0,18.0,35112.0,4.0
179,0,Asia,Macao,,,,"648,379 ",,,45,,45.0,,69.0
180,21,Africa,Burundi,0.08,,,"11,849,331 ",,24.0,42,1.0,20.0,284.0,4.0
181,4,North America,Saint Martin,78.0,,,"38,594 ",1.0,14329.0,40,3.0,33.0,553.0,1036.0
182,0,Africa,Eritrea,,,,"3,541,114 ",,,39,,39.0,,11.0
183,10,Africa,Botswana,0.4,,,"2,346,328 ",,6862.0,30,1.0,19.0,16100.0,13.0
184,3,North America,Antigua and Barbuda,31.0,,,"97,844 ",1.0,1870.0,25,3.0,19.0,183.0,256.0
185,11,Africa,Gambia,0.4,,,"2,408,787 ",,613.0,25,1.0,13.0,1476.0,10.0
186,18,Asia,Bhutan,,,,"770,702 ",,19843.0,24,,6.0,15293.0,31.0
187,0,Asia,Timor-Leste,,,,"1,315,658 ",,561.0,24,,24.0,738.0,18.0
188,5,North America,Grenada,,,,"112,469 ",4.0,26736.0,22,,17.0,3007.0,196.0
189,6,Africa,Namibia,,,,"2,535,822 ",,1123.0,20,,14.0,2847.0,8.0
190,5,Asia,Laos,,,,"7,264,107 ",,715.0,19,,14.0,5194.0,3.0
191,0,North America,Belize,5.0,,,"396,831 ",,3616.0,18,2.0,16.0,1435.0,45.0
192,3,Australia/Oceania,Fiji,,,,"895,766 ",,1451.0,18,,15.0,1300.0,20.0
193,0,Australia/Oceania,New Caledonia,,,,"285,208 ",,19123.0,18,,18.0,5454.0,63.0
194,0,North America,Saint Lucia,,,,"183,540 ",,4724.0,18,,18.0,867.0,98.0
195,4,North America,St. Vincent Grenadines,,,,"110,904 ",,1885.0,18,,14.0,209.0,162.0
196,2,North America,Curaçao,6.0,,,"164,024 ",,3073.0,17,1.0,14.0,504.0,104.0
197,0,North America,Dominica,,,,"71,968 ",,6017.0,16,,16.0,433.0,222.0
198,0,North America,Saint Kitts and Nevis,,,,"53,160 ",,7355.0,15,,15.0,391.0,282.0
199,0,South America,Falkland Islands,,,,"3,468 ",,128316.0,13,,13.0,445.0,3749.0
200,1,North America,Turks and Caicos,26.0,,,"38,660 ",,3259.0,12,1.0,10.0,126.0,310.0
201,10,Europe,Vatican City,,,,801,,,12,,2.0,,14981.0
202,0,North America,Montserrat,200.0,,,"4,992 ",,7212.0,11,1.0,10.0,36.0,2204.0
203,1,South America,Suriname,2.0,,,"586,078 ",,689.0,11,1.0,9.0,404.0,19.0
204,0,North America,Greenland,,,,"56,760 ",,32593.0,11,,11.0,1850.0,194.0
205,0,Africa,Seychelles,,,,"98,284 ",,,11,,11.0,,112.0
206,7,,MS Zaandam,,,,0,,,9,2.0,,,
207,1,North America,British Virgin Islands,33.0,,,"30,210 ",,5528.0,8,1.0,6.0,167.0,265.0
208,0,Australia/Oceania,Papua New Guinea,,,,"8,928,226 ",,269.0,8,,8.0,2402.0,0.9
209,0,North America,Caribbean Netherlands,,,,"26,197 ",,16185.0,6,,6.0,424.0,229.0
210,0,North America,St. Barth,,,,"9,874 ",,13875.0,6,,6.0,137.0,608.0
211,0,Africa,Western Sahara,,,,"595,664 ",,,6,,6.0,,10.0
212,0,North America,Anguilla,,,,"14,989 ",,2001.0,3,,3.0,30.0,200.0
213,2,Africa,Lesotho,,,,"2,140,467 ",,132.0,2,,,283.0,0.9
