#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
220,Vanuatu,1,,,,1,,0,,3.0,,470.0,1507.0,"311,856 ",Australia/Oceania,"311,856",,664
221,China,89912,19.0,4636.0,,85066,27,210,1.0,62.0,3.0,160000000.0,111163.0,"1,439,323,776 ",Asia,"16,008","310,467",9
,Total:,33565070,3360.0,759898.0,475.0,23248152,"+3,964",9557020,21321.0,,,,,,North America, ,,
,Total:,25007606,3105.0,398373.0,53.0,23520134,"+4,586",1089099,21926.0,,,,,,Asia, ,,
,Total:,17991688,463.0,466860.0,21.0,16259018,479,1265810,18955.0,,,,,,South America, ,,
,Total:,34158092,10939.0,813430.0,166.0,23710803,"+9,310",9633859,25528.0,,,,,,Europe, ,,
,Total:,3924598,,103868.0,,3484084,,336646,2555.0,,,,,,Africa, ,,
,Total:,51168,7.0,1088.0,,34286,,15794,6.0,,,,,,Australia/Oceania, ,,
,Total:,721,,15.0,,706,,0,0.0,,,,,,, ,,
,European Union,22408709,6654.0,546181.0,98.0,14008890,,6136028,20149.0,50328.316970791864,1226.6824693659983,282651011.0,634813.441226033,,Europe,,,
