#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1319267,North America,North America,,6270.0,697.0,"+4,421",,19342.0,,2659091,152556.0,1187268.0,,
,"
",,,716602,South America,South America,,977.0,18.0,668,,12380.0,,1701177,68830.0,915745.0,,
,"
",,,861154,Europe,Europe,,,,,,6370.0,,2283096,186934.0,1235008.0,,
,"
",,,632002,Asia,Asia,,7769.0,156.0,"+2,413",,16221.0,,1824086,46519.0,1145565.0,,
,"
",,,145923,Africa,Africa,,,,,,499.0,,288812,7713.0,135176.0,,
,"
",,,458,Australia/Oceania,Oceania,,29.0,,3,,2.0,,9052,124.0,8470.0,,
,"
",,,3675461,All,World,59.4,15045.0,871.0,"+7,505",,54818.0,,8766035,462691.0,4627883.0,,1125.0
208,"3,778","30,225",143,0,North America,British Virgin Islands,33.0,,,,"30,225 ",,7014.0,8,1.0,7.0,212.0,265.0
209,"1,117,594",,"1,693",0,Australia/Oceania,Papua New Guinea,,,,,"8,940,748 ",,591.0,8,,8.0,5281.0,0.9
210,"3,745",,62,0,North America,Caribbean Netherlands,,,,,"26,215 ",,16174.0,7,,7.0,424.0,267.0
211,"1,646",,65,0,North America,St. Barth,,,,,"9,876 ",,15391.0,6,,6.0,152.0,608.0
212,"535,430",,"1,414",2,Africa,Lesotho,,,,,"2,141,718 ",,707.0,4,,2.0,1515.0,2.0
213,"5,000",,161,0,North America,Anguilla,,,,,"14,999 ",,6200.0,3,,3.0,93.0,200.0
214,"5,795",,,0,North America,Saint Pierre Miquelon,,,,,"5,795 ",,,1,,1.0,,173.0
215,"17,268","310,601",,308,Asia,China,3.0,27.0,,12,"1,439,323,776 ",11.0,,83352,4634.0,78410.0,,58.0
, ,,,1319267,North America,Total:,,6270.0,697.0,"+4,421",,19342.0,,2659091,152556.0,1187268.0,,
, ,,,716602,South America,Total:,,977.0,18.0,668,,12380.0,,1701177,68830.0,915745.0,,
, ,,,861154,Europe,Total:,,,,,,6370.0,,2283096,186934.0,1235008.0,,
, ,,,632002,Asia,Total:,,7769.0,156.0,"+2,413",,16221.0,,1824086,46519.0,1145565.0,,
, ,,,145923,Africa,Total:,,,,,,499.0,,288812,7713.0,135176.0,,
, ,,,458,Australia/Oceania,Total:,,29.0,,,,2.0,,9052,124.0,8470.0,,
, ,,,55,,Total:,,,,,,4.0,,721,15.0,651.0,,
,,,,160965,Europe,European Union,296.0063960757157,0.0,0.0,,,2711.0,57569.87177784594,1239542,131797.0,588105.0,25633015.0,2783.9204246263935
