#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
207,Anguilla,109,,,,109,,0,,7202.0,,22201.0,1466962.0,"15,134 ",North America,139,,1,,,,Dummy,Dummy
208,Falkland Islands,63,,,,63,,0,,17608.0,,7307.0,2042202.0,"3,578 ",South America,57,,0,,,,Dummy,Dummy
209,Macao,53,,,,51,,2,,81.0,,4483.0,6814.0,"657,958 ",Asia,"12,414",,147,,,3,Dummy,Dummy
210,Greenland,50,,,,40,,10,,879.0,,28389.0,499226.0,"56,866 ",North America,"1,137",,2,,,176,Dummy,Dummy
211,Vatican City,27,,,,27,,0,,33624.0,,,,803,Europe,30,,,,,,Dummy,Dummy
212,Saint Pierre Miquelon,26,,,,25,,1,,4509.0,,6128.0,1062782.0,"5,766 ",North America,222,,1,,,173,Dummy,Dummy
213,Montserrat,20,,1.0,,19,,0,,4004.0,200.0,1408.0,281882.0,"4,995 ",North America,250,"4,995",4,,,,Dummy,Dummy
214,Solomon Islands,20,,,,20,,0,,28.0,,4500.0,6399.0,"703,242 ",Australia/Oceania,"35,162",,156,,,,Dummy,Dummy
215,Western Sahara,10,,1.0,,8,,1,,16.0,2.0,,,"611,601 ",Africa,"61,160","611,601",,,,2,Dummy,Dummy
216,MS Zaandam,9,,2.0,,7,,0,,,,,, ,,,,,,,,Dummy,Dummy
217,Vanuatu,4,,1.0,,3,,0,,13.0,3.0,23000.0,73221.0,"314,117 ",Australia/Oceania,"78,529","314,117",14,,,,Dummy,Dummy
218,Marshall Islands,4,,,,4,,0,,67.0,,,,"59,580 ",Australia/Oceania,"14,895",,,,,,Dummy,Dummy
219,Samoa,3,,,,3,,0,,15.0,,,,"199,701 ",Australia/Oceania,"66,567",,,,,,Dummy,Dummy
220,Saint Helena,2,,,,2,,0,,328.0,,,,"6,095 ",Africa,"3,048",,,,,,Dummy,Dummy
221,Micronesia,1,,,,1,,0,,9.0,,,,"116,199  ",Australia/Oceania,"116,199",,,,,,Dummy,Dummy
222,China,91669,16.0,4636.0,,86541,38,492,15.0,64.0,3.0,160000000.0,111163.0,"1,439,323,776 ",Asia,"15,701","310,467",9,0.01,,0.3,Dummy,Dummy
,Total:,40423582,5509.0,914216.0,373.0,33851681,"+2,823",5657685,11051.0,,,,,,North America, ,,,,,,Dummy,Dummy
,Total:,54880588,13026.0,775092.0,130.0,52277516,"+14,736",1827980,26525.0,,,,,,Asia, ,,,,,,Dummy,Dummy
,Total:,32067666,2270.0,982118.0,86.0,29088110,"+2,270",1997438,31414.0,,,,,,South America, ,,,,,,Dummy,Dummy
,Total:,47598920,2093.0,1095466.0,67.0,45116008,"+6,119",1387446,7991.0,,,,,,Europe, ,,,,,,Dummy,Dummy
,Total:,5330048,,139506.0,,4697800,,492742,4478.0,,,,,,Africa, ,,,,,,Dummy,Dummy
,Total:,72352,26.0,1272.0,,68443,,2637,10.0,,,,,,Australia/Oceania, ,,,,,,Dummy,Dummy
,Total:,721,,15.0,,706,,0,0.0,,,,,,, ,,,,,,Dummy,Dummy
,Total:,180373877,22924.0,3907685.0,656.0,165100264,"+25,948",11365928,81469.0,23140.3,501.3,,,,All,"
",,,,,,Dummy,Dummy
,European Union,32552476,1156.0,737065.0,9.0,31093425,,721986,5109.0,73110.47371413029,1655.3939340314832,558846459.0,1255128.1614017407,,Europe,,,,,,,,
