date,cases
2020-04-01,397849
2020-04-01,397882
2020-04-01,398207
2020-04-01,402260
2020-04-01,402282
2020-04-01,402331
2020-04-01,402521
2020-04-01,402540
2020-04-01,403385
2020-04-01,403641
2020-04-01,404676
2020-04-01,404969
2020-04-01,404996
2020-04-01,405047
2020-04-01,412460
2020-04-01,412935
2020-04-02,413464
2020-04-02,414981
2020-04-02,415004
2020-04-02,415100
2020-04-02,415158
2020-04-02,415439
2020-04-02,415686
2020-04-02,415720
2020-04-02,415782
2020-04-02,420643
2020-04-02,426799
2020-04-02,426860
2020-04-02,426920
2020-04-02,427132
2020-04-02,431914
2020-04-02,431962
2020-04-02,432010
2020-04-02,432151
2020-04-02,432158
2020-04-02,433177
2020-04-02,433420
2020-04-02,434228
2020-04-02,434443
2020-04-02,434480
2020-04-02,434507
2020-04-02,442090
2020-04-02,442576
2020-04-03,442994
2020-04-03,444472
2020-04-03,444507
2020-04-03,444555
2020-04-03,444591
2020-04-03,444860
2020-04-03,445139
2020-04-03,445218
2020-04-03,445290
2020-04-03,447406
2020-04-03,453580
2020-04-03,453719
2020-04-03,453757
2020-04-03,454159
2020-04-03,458827
2020-04-03,458839
2020-04-03,458907
2020-04-03,459075
2020-04-03,459082
2020-04-03,460165
2020-04-03,460557
2020-04-03,461340
2020-04-03,461618
2020-04-03,461644
2020-04-03,461700
2020-04-03,468972
2020-04-03,469526
2020-04-04,469922
2020-04-04,471616
2020-04-04,471644
2020-04-04,471712
2020-04-04,471752
2020-04-04,472084
2020-04-04,472455
2020-04-04,472558
2020-04-04,472655
2020-04-04,477888
2020-04-04,483970
2020-04-04,484069
2020-04-04,484124
2020-04-04,484548
2020-04-04,489133
2020-04-04,489168
2020-04-04,489290
2020-04-04,489415
2020-04-04,489426
2020-04-04,490452
2020-04-04,490889
2020-04-04,491741
2020-04-04,492186
2020-04-04,492210
2020-04-04,492247
2020-04-04,498910
2020-04-04,499511
2020-04-05,499752
2020-04-05,500675
2020-04-05,500693
2020-04-05,500740
2020-04-05,500770
2020-04-05,501052
2020-04-05,501372
2020-04-05,501429
2020-04-05,501696
2020-04-05,505963
2020-04-05,511899
2020-04-05,511959
2020-04-05,512014
2020-04-05,512345
2020-04-05,517150
2020-04-05,517166
2020-04-05,517283
2020-04-05,517297
2020-04-05,518201
2020-04-05,518445
2020-04-05,519083
2020-04-05,519513
2020-04-05,519534
2020-04-05,519577
2020-04-05,525110
2020-04-05,525467
2020-04-06,525684
2020-04-06,526351
2020-04-06,526379
2020-04-06,526435
2020-04-06,526455
2020-04-06,526570
2020-04-06,526862
2020-04-06,526941
2020-04-06,526986
2020-04-06,528859
2020-04-06,532536
2020-04-06,532598
2020-04-06,532609
2020-04-06,533116
2020-04-06,537432
2020-04-06,537456
2020-04-06,537496
2020-04-06,537571
2020-04-06,537585
2020-04-06,538809
2020-04-06,539284
2020-04-06,540038
2020-04-06,540289
2020-04-06,540303
2020-04-06,540323
2020-04-06,543990
2020-04-06,544330
2020-04-07,544644
2020-04-07,546580
2020-04-07,546598
2020-04-07,546638
2020-04-07,546657
2020-04-07,546892
2020-04-07,547204
2020-04-07,547215
2020-04-07,547464
2020-04-07,551376
2020-04-07,555210
2020-04-07,555230
2020-04-07,555303
2020-04-07,555556
2020-04-07,559155
2020-04-07,559164
2020-04-07,559196
2020-04-07,559235
2020-04-07,559287
2020-04-07,560239
2020-04-07,560550
2020-04-07,561002
2020-04-07,561195
2020-04-07,561244
2020-04-07,561268
2020-04-07,566477
2020-04-07,566866
2020-04-08,567209
2020-04-08,568724
2020-04-08,568752
2020-04-08,568812
2020-04-08,568841
2020-04-08,569036
2020-04-08,569426
2020-04-08,569467
2020-04-08,569599
2020-04-08,573376
2020-04-08,577379
2020-04-08,577456
2020-04-08,577534
2020-04-08,577879
2020-04-08,580918
2020-04-08,580924
2020-04-08,580961
2020-04-08,581088
2020-04-08,581094
2020-04-08,581871
2020-04-08,582306
2020-04-08,583018
2020-04-08,583378
2020-04-08,583425
2020-04-08,583459
2020-04-08,589042
2020-04-08,589780
2020-04-09,590109
2020-04-09,591708
2020-04-09,591724
2020-04-09,591785
2020-04-09,591817
2020-04-09,592112
2020-04-09,592443
2020-04-09,592479
2020-04-09,592658
2020-04-09,596539
2020-04-09,601513
2020-04-09,601565
2020-04-09,601650
2020-04-09,602165
2020-04-09,606001
2020-04-09,606030
2020-04-09,606062
2020-04-09,606126
2020-04-09,606164
2020-04-09,607133
2020-04-09,607490
2020-04-09,608189
2020-04-09,608533
2020-04-09,608634
2020-04-09,608670
2020-04-09,614415
2020-04-09,615069
2020-04-10,615348
2020-04-10,617588
2020-04-10,617619
2020-04-10,617683
2020-04-10,617721
2020-04-10,617978
2020-04-10,618211
2020-04-10,618233
2020-04-10,618351
2020-04-10,622637
2020-04-10,627960
2020-04-10,628031
2020-04-10,628241
2020-04-10,629410
2020-04-10,633614
2020-04-10,633626
2020-04-10,633669
2020-04-10,633750
2020-04-10,633763
2020-04-10,634976
2020-04-10,635346
2020-04-10,636161
2020-04-10,636602
2020-04-10,636621
2020-04-10,636654
2020-04-10,641191
2020-04-10,641836
2020-04-11,642148
2020-04-11,644484
2020-04-11,644495
2020-04-11,644583
2020-04-11,644614
2020-04-11,644777
2020-04-11,644961
2020-04-11,645012
2020-04-11,645176
2020-04-11,649518
2020-04-11,653651
2020-04-11,653707
2020-04-11,653827
2020-04-11,654523
2020-04-11,658474
2020-04-11,658497
2020-04-11,658541
2020-04-11,658649
2020-04-11,658669
2020-04-11,660004
2020-04-11,660384
2020-04-11,661900
2020-04-11,662165
2020-04-11,662179
2020-04-11,662215
2020-04-11,666765
2020-04-11,667219
2020-04-12,667466
2020-04-12,668498
2020-04-12,668524
2020-04-12,668563
2020-04-12,668584
2020-04-12,668754
2020-04-12,668931
2020-04-12,668977
2020-04-12,669113
2020-04-12,672227
2020-04-12,675048
2020-04-12,675118
2020-04-12,675218
2020-04-12,676057
2020-04-12,680751
2020-04-12,680769
2020-04-12,680823
2020-04-12,680870
2020-04-12,680878
2020-04-12,682194
2020-04-12,682595
2020-04-12,683110
2020-04-12,683633
2020-04-12,683646
2020-04-12,683674
2020-04-12,687573
2020-04-12,687968
2020-04-13,688098
2020-04-13,688622
2020-04-13,688636
2020-04-13,688702
2020-04-13,688719
2020-04-13,688808
2020-04-13,688986
2020-04-13,688991
2020-04-13,689060
2020-04-13,690673
2020-04-13,693210
2020-04-13,693243
2020-04-13,693291
2020-04-13,694018
2020-04-13,698110
2020-04-13,698131
2020-04-13,698140
2020-04-13,698151
2020-04-13,698157
2020-04-13,699331
2020-04-13,699649
2020-04-13,700247
2020-04-13,700557
2020-04-13,700571
2020-04-13,700588
2020-04-13,703618
2020-04-13,704082
2020-04-14,704188
2020-04-14,704726
2020-04-14,704736
2020-04-14,704786
2020-04-14,704815
2020-04-14,704883
2020-04-14,705027
2020-04-14,705050
2020-04-14,705140
2020-04-14,707813
2020-04-14,709895
2020-04-14,709926
2020-04-14,709980
2020-04-14,710972
2020-04-14,714125
2020-04-14,714129
2020-04-14,714137
2020-04-14,714148
2020-04-14,714157
2020-04-14,715121
2020-04-14,715381
2020-04-14,715730
2020-04-14,716063
2020-04-14,716090
2020-04-14,716097
2020-04-14,719213
2020-04-14,719650
2020-04-15,719841
2020-04-15,721402
2020-04-15,721430
2020-04-15,721484
2020-04-15,721517
2020-04-15,721599
2020-04-15,721792
2020-04-15,721833
2020-04-15,721930
2020-04-15,727427
2020-04-15,729913
2020-04-15,729938
2020-04-15,730005
2020-04-15,730837
2020-04-15,733809
2020-04-15,733811
2020-04-15,733826
2020-04-15,733832
2020-04-15,734700
2020-04-15,734968
2020-04-15,735482
2020-04-15,735728
2020-04-15,735794
2020-04-15,735802
2020-04-15,740226
2020-04-15,740705
2020-04-16,740841
2020-04-16,742474
2020-04-16,742508
2020-04-16,742545
2020-04-16,742565
2020-04-16,742727
2020-04-16,742897
2020-04-16,742926
2020-04-16,743002
2020-04-16,745635
2020-04-16,748501
2020-04-16,748523
2020-04-16,748596
2020-04-16,749664
2020-04-16,752331
2020-04-16,752340
2020-04-16,752361
2020-04-16,752427
2020-04-16,752440
2020-04-16,753174
2020-04-16,753554
2020-04-16,754197
2020-04-16,754534
2020-04-16,754562
2020-04-16,754590
2020-04-16,758410
2020-04-16,759014
2020-04-17,759092
2020-04-17,760767
2020-04-17,760820
2020-04-17,760870
2020-04-17,760890
2020-04-17,761020
2020-04-17,761218
2020-04-17,761250
2020-04-17,761382
2020-04-17,764023
2020-04-17,767403
2020-04-17,767418
2020-04-17,767529
2020-04-17,768253
2020-04-17,772039
2020-04-17,772048
2020-04-17,772106
2020-04-17,772177
2020-04-17,772187
2020-04-17,773248
2020-04-17,773584
2020-04-17,774334
2020-04-17,774825
2020-04-17,774939
2020-04-17,774959
2020-04-17,778777
2020-04-17,779400
2020-04-18,779555
2020-04-18,780950
2020-04-18,780996
2020-04-18,781019
2020-04-18,781135
2020-04-18,781329
2020-04-18,781354
2020-04-18,781474
2020-04-18,781879
2020-04-18,785488
2020-04-18,785559
2020-04-18,786268
2020-04-18,789761
2020-04-18,789768
2020-04-18,789858
2020-04-18,789894
2020-04-18,789898
2020-04-18,791133
2020-04-18,791594
2020-04-18,791775
2020-04-18,792135
2020-04-18,792207
2020-04-18,792243
2020-04-18,796079
2020-04-18,796767
2020-04-19,796826
2020-04-19,797548
2020-04-19,797580
2020-04-19,797598
2020-04-19,797624
2020-04-19,797729
2020-04-19,797898
2020-04-19,797951
2020-04-19,798143
2020-04-19,800712
2020-04-19,803170
2020-04-19,803252
2020-04-19,804030
2020-04-19,807521
2020-04-19,807551
2020-04-19,807610
2020-04-19,807667
2020-04-19,807668
2020-04-19,808808
2020-04-19,809171
2020-04-19,809834
2020-04-19,810185
2020-04-19,810225
2020-04-19,810238
2020-04-19,810770
2020-04-20,810818
2020-04-20,811262
2020-04-20,811299
2020-04-20,811338
2020-04-20,811344
2020-04-20,811477
2020-04-20,811619
2020-04-20,811635
2020-04-20,811737
2020-04-20,812522
2020-04-20,814297
2020-04-20,814325
2020-04-20,814393
2020-04-20,814886
2020-04-20,817933
2020-04-20,817948
2020-04-20,817976
2020-04-20,817989
2020-04-20,817993
2020-04-20,819059
2020-04-20,819604
2020-04-20,820125
2020-04-20,820453
2020-04-20,820525
2020-04-20,820538
2020-04-20,822756
2020-04-20,823144
2020-04-21,823217
2020-04-21,824495
2020-04-21,824509
2020-04-21,824519
2020-04-21,824524
2020-04-21,824651
2020-04-21,824782
2020-04-21,824789
2020-04-21,824874
2020-04-21,826925
2020-04-21,828710
2020-04-21,828720
2020-04-21,828834
2020-04-21,829235
2020-04-21,831491
2020-04-21,831503
2020-04-21,831527
2020-04-21,831535
2020-04-21,831547
2020-04-21,832297
2020-04-21,832603
2020-04-21,833260
2020-04-21,833450
2020-04-21,833462
2020-04-21,833467
2020-04-21,836418
2020-04-21,836879
2020-04-22,836929
2020-04-22,838199
2020-04-22,838245
2020-04-22,838272
2020-04-22,838284
2020-04-22,838411
2020-04-22,838591
2020-04-22,838608
2020-04-22,838754
2020-04-22,841421
2020-04-22,843658
2020-04-22,843814
2020-04-22,843884
2020-04-22,844272
2020-04-22,847001
2020-04-22,847010
2020-04-22,847030
2020-04-22,847090
2020-04-22,847091
2020-04-22,847820
2020-04-22,848083
2020-04-22,848599
2020-04-22,848905
2020-04-22,848931
2020-04-22,848936
2020-04-22,851248
2020-04-22,851955
2020-04-23,852046
2020-04-23,852824
2020-04-23,852873
2020-04-23,852915
2020-04-23,852921
2020-04-23,853016
2020-04-23,853233
2020-04-23,853240
2020-04-23,853355
2020-04-23,855182
2020-04-23,857534
2020-04-23,857541
2020-04-23,857657
2020-04-23,858288
2020-04-23,861658
2020-04-23,861671
2020-04-23,861699
2020-04-23,861735
2020-04-23,862443
2020-04-23,862756
2020-04-23,863359
2020-04-23,863827
2020-04-23,863872
2020-04-23,863885
2020-04-23,866801
2020-04-23,867523
2020-04-24,867584
2020-04-24,868560
2020-04-24,868633
