#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
19,Peru,2094445,,195243.0,,0,N/A,0,2067.0,62611.0,5837.0,15032458.0,449375.0,"33,451,891 ",South America,16,171,2,,,"5,337",Dummy,Dummy
20,Netherlands,1807444,,17778.0,,1660504,,129162,87.0,105239.0,1035.0,15010077.0,873970.0,"17,174,597 ",Europe,10,966,1,,,"7,521",Dummy,Dummy
21,Czechia,1671145,,30338.0,,1638053,,2754,6.0,155748.0,2827.0,31600829.0,2945146.0,"10,729,799 ",Europe,6,354,0,,,257,Dummy,Dummy
22,Chile,1600883,,34539.0,,1553145,,13199,1991.0,82999.0,1791.0,18036095.0,935098.0,"19,287,911 ",South America,12,558,1,,,684,Dummy,Dummy
23,Philippines,1513396,,26786.0,,1439049,,47561,2031.0,13621.0,241.0,16042300.0,144388.0,"111,105,643 ",Asia,73,"4,148",7,,,428,Dummy,Dummy
24,Iraq,1501595,,17892.0,,1364545,,119158,657.0,36479.0,435.0,12547843.0,304827.0,"41,163,832 ",Asia,27,"2,301",3,,,"2,895",Dummy,Dummy
25,Canada,1423878,,26504.0,,1392777,,4597,264.0,37383.0,696.0,37907486.0,995250.0,"38,088,419 ",North America,27,"1,437",1,,,121,Dummy,Dummy
26,Bangladesh,1117310,,18125.0,,941343,,157842,1246.0,6714.0,109.0,7300399.0,43871.0,"166,405,790 ",Asia,149,"9,181",23,,,949,Dummy,Dummy
27,Belgium,1107208,1330.0,25213.0,2.0,1051372,,30623,88.0,95101.0,2166.0,16330887.0,1402702.0,"11,642,450 ",Europe,11,462,1,114,0.2,"2,630",Dummy,Dummy
28,Sweden,1094287,,14609.0,,1072820,16,6858,23.0,107650.0,1437.0,11153755.0,1097249.0,"10,165,195 ",Europe,9,696,1,,,675,Dummy,Dummy
