#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
45,Slovakia,379911,,11495.0,,255300,,113116,357.0,69558.0,2105.0,2578835.0,472158.0,"5,461,802 ",Europe,14,475,2,,,"20,710"
46,Ecuador,373362,,18177.0,,318598,,36587,636.0,20904.0,1018.0,1259992.0,70545.0,"17,860,716 ",South America,48,983,14,,,"2,048"
47,Panama,362967,,6209.0,,352833,,3925,105.0,83060.0,1421.0,2353895.0,538656.0,"4,369,939 ",North America,12,704,2,,,898
48,Belarus,352950,,2493.0,,343557,,6900,,37362.0,264.0,5778401.0,611679.0,"9,446,784 ",Europe,27,"3,789",2,,,730
49,Greece,333129,,10007.0,,291153,,31969,816.0,32089.0,964.0,7848074.0,755974.0,"10,381,407 ",Europe,31,"1,037",1,,,"3,079"
50,Croatia,322626,,6854.0,,300492,,15280,240.0,78987.0,1678.0,1759208.0,430698.0,"4,084,550 ",Europe,13,596,2,,,"3,741"
51,Azerbaijan,313006,,4371.0,,279179,,29456,,30646.0,428.0,3189536.0,312283.0,"10,213,597 ",Asia,33,"2,337",3,,,"2,884"
52,Kazakhstan,309116,2716.0,3570.0,20.0,263446,"+1,799",42100,221.0,16304.0,188.0,9943652.0,524471.0,"18,959,403 ",Asia,61,"5,311",2,143,1,"2,221"
53,Georgia,303751,,4025.0,,285971,,13755,,76264.0,1011.0,4059312.0,1019183.0,"3,982,909 ",Asia,13,990,1,,,"3,454"
54,Tunisia,300342,,10304.0,,249146,,40892,515.0,25198.0,864.0,1279495.0,107347.0,"11,919,270 ",Africa,40,"1,157",9,,,"3,431"
55,Nepal,300119,,3164.0,,277573,,19382,,10152.0,107.0,2405017.0,81355.0,"29,562,112 ",Asia,99,"9,343",12,,,656
56,Bolivia,297659,474.0,12824.0,12.0,245633,752,39202,71.0,25220.0,1087.0,1111484.0,94174.0,"11,802,463 ",South America,40,920,11,40,1,"3,322"
57,Palestine,290972,,3167.0,,262602,,25203,151.0,55984.0,609.0,1714206.0,329816.0,"5,197,455 ",Asia,18,"1,641",3,,,"4,849"
58,Paraguay,267082,,5900.0,,219647,,41535,514.0,37075.0,819.0,1065362.0,147889.0,"7,203,798 ",South America,27,"1,221",7,,,"5,766"
59,Kuwait,266949,,1516.0,,250074,,15359,222.0,61767.0,351.0,2280865.0,527747.0,"4,321,891 ",Asia,16,"2,851",2,,,"3,554"
60,Dominican Republic,264863,,3454.0,,221825,,39584,177.0,24218.0,316.0,1393432.0,127412.0,"10,936,462 ",North America,41,"3,166",8,,,"3,619"
61,Ethiopia,252279,,3551.0,,192747,,55981,1010.0,2151.0,30.0,2550394.0,21748.0,"117,268,380 ",Africa,465,"33,024",46,,,477
62,Moldova,249139,,5730.0,,237405,,6004,222.0,61878.0,1423.0,968355.0,240507.0,"4,026,300 ",Europe,16,703,4,,,"1,491"
63,Denmark,247622,,2475.0,,235622,,9525,40.0,42628.0,426.0,35279024.0,6073331.0,"5,808,843 ",Europe,23,"2,347",0,,,"1,640"
64,Ireland,246633,,4873.0,,228454,,13306,45.0,49498.0,978.0,4387769.0,880607.0,"4,982,666 ",Europe,20,"1,023",1,,,"2,670"
65,Lithuania,241297,,3848.0,,217911,,19538,192.0,89664.0,1430.0,2714675.0,1008746.0,"2,691,137 ",Europe,11,699,1,,,"7,260"
66,Costa Rica,238760,,3143.0,,199982,,35635,303.0,46524.0,612.0,932115.0,181628.0,"5,131,996 ",North America,21,"1,633",6,,,"6,944"
67,Slovenia,237028,,4208.0,,222358,,10462,157.0,114001.0,2024.0,1159199.0,557529.0,"2,079,171 ",Europe,9,494,2,,,"5,032"
68,Egypt,222523,,13049.0,,167024,,42450,90.0,2142.0,126.0,2677262.0,25768.0,"103,900,283 ",Africa,467,"7,962",39,,,409
69,Guatemala,221698,,7410.0,,196657,,17631,5.0,12192.0,407.0,1222310.0,67217.0,"18,184,472 ",North America,82,"2,454",15,,,970
70,Armenia,213288,,4018.0,,194080,,15190,,71868.0,1354.0,963225.0,324563.0,"2,967,764 ",Asia,14,739,3,,,"5,118"
71,Honduras,206907,526.0,5141.0,41.0,77679,140,124087,596.0,20624.0,512.0,607121.0,60515.0,"10,032,556 ",North America,48,"1,951",17,52,4,"12,368"
72,Qatar,202201,,428.0,,181522,,20251,431.0,72014.0,152.0,1880180.0,669626.0,"2,807,805 ",Asia,14,"6,560",1,,,"7,212"
73,Bosnia and Herzegovina,194733,,8203.0,,153408,,33122,,59659.0,2513.0,887506.0,271898.0,"3,264,119 ",Europe,17,398,4,,,"10,147"
74,Venezuela,191518,,2047.0,,173097,,16374,293.0,6751.0,72.0,3359014.0,118400.0,"28,370,074 ",South America,148,"13,859",8,,,577
75,Oman,188816,,1977.0,,168770,,18069,272.0,36229.0,379.0,1550000.0,297407.0,"5,211,714 ",Asia,28,"2,636",3,,,"3,467"
76,Uruguay,184865,,2326.0,,154489,,28050,531.0,53068.0,668.0,1734515.0,497916.0,"3,483,552 ",South America,19,"1,498",2,,,"8,052"
77,Libya,175286,,2996.0,,160643,,11647,,25231.0,431.0,945732.0,136130.0,"6,947,251 ",Africa,40,"2,319",7,,,"1,676"
78,Bahrain,171370,,624.0,,160089,,10657,93.0,97968.0,357.0,4013356.0,2294330.0,"1,749,250 ",Asia,10,"2,803",0,,,"6,092"
79,Nigeria,164719,,2062.0,,154926,,7731,11.0,783.0,10.0,1870915.0,8897.0,"210,274,756 ",Africa,"1,277","101,976",112,,,37
80,Kenya,156787,,2622.0,,106588,,47577,207.0,2865.0,48.0,1645209.0,30060.0,"54,730,994 ",Africa,349,"20,874",33,,,869
81,North Macedonia,150588,,4677.0,,129053,,16858,124.0,72283.0,2245.0,709457.0,340544.0,"2,083,304 ",Europe,14,445,3,,,"8,092"
82,Myanmar,142722,10.0,3207.0,1.0,131932,2,7583,,2609.0,59.0,2567294.0,46928.0,"54,707,069 ",Asia,383,"17,059",21,0.2,0.02,139
83,Albania,130537,,2378.0,,105728,,22431,18.0,45401.0,827.0,622711.0,216578.0,"2,875,230 ",Europe,22,"1,209",5,,,"7,801"
84,Algeria,120922,,3207.0,,84299,,33416,20.0,2718.0,72.0,230861.0,5189.0,"44,493,653 ",Africa,368,"13,874",193,,,751
85,Estonia,120215,,1143.0,,107298,,11774,59.0,90574.0,861.0,1262863.0,951478.0,"1,327,264 ",Europe,11,"1,161",1,,,"8,871"
86,S. Korea,119387,500.0,1817.0,4.0,108850,375,8720,132.0,2327.0,35.0,8672979.0,169047.0,"51,305,214 ",Asia,430,"28,236",6,10,0.08,170
87,Latvia,115316,,2102.0,,105254,,7960,78.0,61696.0,1125.0,2215842.0,1185507.0,"1,869,109 ",Europe,16,889,1,,,"4,259"
88,Norway,110612,,736.0,,88952,,20924,38.0,20274.0,135.0,5084200.0,931893.0,"5,455,775 ",Europe,49,"7,413",1,,,"3,835"
89,Cuba,101503,,591.0,,95095,,5817,66.0,8966.0,52.0,3517959.0,310747.0,"11,320,968 ",North America,112,"19,156",3,,,514
90,Sri Lanka,101379,,642.0,,94311,,6426,,4718.0,30.0,2374627.0,110517.0,"21,486,483 ",Asia,212,"33,468",9,,,299
91,Montenegro,96660,,1465.0,,92609,,2586,69.0,153885.0,2332.0,369434.0,588148.0,"628,131 ",Europe,6,429,2,,,"4,117"
92,Kyrgyzstan,94030,199.0,1584.0,2.0,88212,146,4234,25.0,14222.0,240.0,967200.0,146288.0,"6,611,602 ",Asia,70,"4,174",7,30,0.3,640
93,Ghana,92166,,777.0,,89920,,1469,8.0,2917.0,25.0,1063581.0,33659.0,"31,598,729 ",Africa,343,"40,668",30,,,46
94,Zambia,91358,,1246.0,,89574,,538,39.0,4859.0,66.0,1378946.0,73348.0,"18,800,113 ",Africa,206,"15,088",14,,,29
95,Uzbekistan,89355,328.0,645.0,2.0,85976,212,2734,23.0,2639.0,19.0,1377915.0,40690.0,"33,863,395 ",Asia,379,"52,501",25,10,0.06,81
96,Finland,85804,,903.0,,46000,,38901,31.0,15466.0,163.0,4385992.0,790590.0,"5,547,747 ",Europe,65,"6,144",1,,,"7,012"
97,Mozambique,69665,,807.0,,62501,,6357,43.0,2180.0,25.0,512219.0,16025.0,"31,963,234 ",Africa,459,"39,607",62,,,199
98,El Salvador,68468,,2106.0,3.0,64405,,1957,33.0,10513.0,323.0,902426.0,138560.0,"6,512,893 ",North America,95,"3,093",7,,0.5,300
99,Luxembourg,66007,,790.0,,62183,,3034,30.0,104071.0,1246.0,2606391.0,4109413.0,"634,249 ",Europe,10,803,0,,,"4,784"
100,Cameroon,65998,,991.0,,57821,,7186,385.0,2437.0,37.0,1257949.0,46452.0,"27,080,653 ",Africa,410,"27,327",22,,,265
