#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
175,62,Africa,Angola,0.1,,,"32,765,461 ",1.0,305.0,84,4.0,18.0,10000.0,3.0
176,26,Europe,Liechtenstein,26.0,,,"38,119 ",,23610.0,82,1.0,55.0,900.0,2151.0
177,2,North America,Sint Maarten,350.0,,,"42,833 ",1.0,10763.0,77,15.0,60.0,461.0,1798.0
178,29,Africa,Burundi,0.08,,,"11,856,133 ",,24.0,63,1.0,33.0,284.0,5.0
179,0,Australia/Oceania,French Polynesia,,,,"280,770 ",,14268.0,60,,60.0,4006.0,214.0
180,0,Asia,Macao,,,,"648,548 ",,,45,,45.0,,69.0
181,37,Asia,Bhutan,,10.0,,"770,865 ",,22102.0,43,,6.0,17038.0,56.0
182,5,North America,Saint Martin,78.0,,,"38,606 ",1.0,15904.0,41,3.0,33.0,614.0,1062.0
183,0,Africa,Eritrea,,,,"3,542,053 ",,,39,,39.0,,11.0
184,14,Africa,Botswana,0.4,,,"2,347,237 ",,7665.0,35,1.0,20.0,17991.0,15.0
185,11,North America,St. Vincent Grenadines,,,,"110,911 ",,5347.0,26,,15.0,593.0,234.0
186,3,North America,Antigua and Barbuda,31.0,,,"97,859 ",1.0,1870.0,25,3.0,19.0,183.0,255.0
187,4,Africa,Gambia,0.4,,,"2,410,091 ",,729.0,25,1.0,20.0,1756.0,10.0
188,0,Asia,Timor-Leste,,,,"1,316,139 ",,980.0,24,,24.0,1290.0,18.0
189,5,North America,Grenada,,,,"112,479 ",4.0,26734.0,23,,18.0,3007.0,204.0
190,9,Africa,Namibia,,,,"2,536,704 ",,1345.0,23,,14.0,3412.0,9.0
191,4,North America,Curaçao,6.0,,,"164,037 ",,3487.0,19,1.0,14.0,572.0,116.0
192,3,Asia,Laos,,,,"7,266,127 ",,885.0,19,,16.0,6432.0,3.0
193,1,Australia/Oceania,New Caledonia,,,,"285,260 ",,22492.0,19,,18.0,6416.0,67.0
194,0,North America,Belize,5.0,,,"396,969 ",,3960.0,18,2.0,16.0,1572.0,45.0
195,3,Australia/Oceania,Fiji,,,,"895,890 ",,2714.0,18,,15.0,2431.0,20.0
196,0,North America,Saint Lucia,,,,"183,556 ",,5513.0,18,,18.0,1012.0,98.0
197,0,North America,Dominica,,,,"71,971 ",,6016.0,16,,16.0,433.0,222.0
198,0,North America,Saint Kitts and Nevis,,,,"53,167 ",,7411.0,15,,15.0,394.0,282.0
199,4,South America,Suriname,2.0,2.0,,"586,178 ",,1334.0,14,1.0,9.0,782.0,24.0
200,0,South America,Falkland Islands,,,,"3,470 ",,144957.0,13,,13.0,503.0,3746.0
201,2,North America,Greenland,,,,"56,762 ",,35763.0,13,,11.0,2030.0,229.0
202,0,North America,Turks and Caicos,26.0,,,"38,670 ",,3336.0,12,1.0,11.0,129.0,310.0
203,10,Europe,Vatican City,,,,801,,,12,,2.0,,14981.0
204,0,North America,Montserrat,200.0,,,"4,992 ",,12220.0,11,1.0,10.0,61.0,2204.0
205,0,Africa,Seychelles,,,,"98,295 ",,,11,,11.0,,112.0
206,7,,MS Zaandam,,,,0,,,9,2.0,,,
207,2,Africa,Western Sahara,2.0,,,"595,945 ",,,9,1.0,6.0,,15.0
208,0,North America,British Virgin Islands,33.0,,,"30,214 ",,5527.0,8,1.0,7.0,167.0,265.0
209,0,Australia/Oceania,Papua New Guinea,,,,"8,931,472 ",,269.0,8,,8.0,2402.0,0.9
210,0,North America,Caribbean Netherlands,,,,"26,202 ",,16182.0,6,,6.0,424.0,229.0
211,0,North America,St. Barth,,,,"9,874 ",,13875.0,6,,6.0,137.0,608.0
212,0,North America,Anguilla,,,,"14,991 ",,2735.0,3,,3.0,41.0,200.0
213,1,Africa,Lesotho,,,,"2,140,792 ",,132.0,2,,1.0,283.0,0.9
214,0,North America,Saint Pierre Miquelon,,,,"5,796 ",,,1,,1.0,,173.0
215,63,Asia,China,3.0,2.0,,"1,439,323,776 ",3.0,,83001,4634.0,78304.0,,58.0
,1250003,North America,Total:,,3635.0,386.0,,19435.0,,2044468,123858.0,670607.0,,
,461707,South America,Total:,,2389.0,25.0,,11281.0,,847008,39340.0,345961.0,,
,852704,Europe,Total:,,14.0,1.0,,8796.0,,2004240,173281.0,978255.0,,
,408494,Asia,Total:,,4954.0,98.0,,13578.0,,1112475,30305.0,673676.0,,
,78690,Africa,Total:,,,,,370.0,,143769,4092.0,60987.0,,
,483,Australia/Oceania,Total:,,10.0,,,4.0,,8804,125.0,8196.0,,
,55,,Total:,,,,,4.0,,721,15.0,651.0,,
,306992,Europe,European Union,283.5504868165071,14.0,1.0,,4239.0,44447.14015535083,1201370,126251.0,727821.0,19790112.0,2698.188912141267
